kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
50000,Prov. Jawa Timur,50700,Kab. Lamongan,50704,Kec. Sambeng,20548709,SD NEGERI 2 WONOREJO,SD,N,Dusun Jombok,-7.2343,112.2833
50000,Prov. Jawa Timur,56000,Kota Surabaya,56004,Kec. Wonocolo,20532194,SMKS KRISTEN PETRA SURABAYA,SMK,S,JL. JEMUR ANDAYANI XVI/16-18,-7.3067,112.7502
50000,Prov. Jawa Timur,52700,Kab. Sampang,52703,Kec. Sampang,20528421,SDN BARUH 1,SD,N,Jl. Raya Baruh,-7.169213,113.2856
50000,Prov. Jawa Timur,51600,Kab. Tulungagung,51606,Kec. Kalidawir,20515504,SMP N 3 KALIDAWIR,SMP,N,Jln Raya Joho,-8.1772,111.9422
50000,Prov. Jawa Timur,51000,Kab. Magetan,51015,Kec. Kartoharjo,20509270,SD NEGERI PENCOL,SD,N,Desa Pencol,-7.5448,111.4889
50000,Prov. Jawa Timur,50400,Kab. Jombang,50401,Kec. Bandar KedungMulyo,20503365,SD NEGERI KAYEN 1,SD,N,Jl Raya Kayen,-7.5853,112.1392
50000,Prov. Jawa Timur,51600,Kab. Tulungagung,51609,Kec. Ngunut,20515248,SD N PULOSARI II,SD,N,Jl Raya Pulosari,-8.0968,111.9955
50000,Prov. Jawa Timur,51100,Kab. Ponorogo,51115,Kec. Sampung,20509938,SD NEGERI 2 PAGERUKIR,SD,N,Dkh. Ngudal,-7.8386,111.3168
50000,Prov. Jawa Timur,52700,Kab. Sampang,52709,Kec. Banyuates,20528291,SDN NAGASAREH 1,SD,N,Ds Nagasareh,-6.9515,113.1822
50000,Prov. Jawa Timur,51500,Kab. Blitar,51504,Kec. Wates,20514074,SD NEGERI RINGINREJO 01,SD,N,Ringinrejo,-8.2746,112.349
50000,Prov. Jawa Timur,51300,Kab. Kediri,51314,Kec. Grogol,20511847,SMP NEGERI 2 GROGOL,SMP,N,Jalan Raya Gringging,-7.7488,111.9716
50000,Prov. Jawa Timur,50900,Kab. Ngawi,50913,Kec. Kedunggalar,20508988,SD NEGERI KATIKAN 3,SD,N,Dsn Pohjenggel,-7.5018,111.2722
50000,Prov. Jawa Timur,51800,Kab. Malang,51801,Kec. Donomulyo,20517077,SD NEGERI SUMBEROTO 5,SD,N,Sumberoto Rt 30 Rw 7,-8.2938,112.4024
50000,Prov. Jawa Timur,52900,Kab. Bangkalan,52907,Kec. Galis,20570498,SMP NU AL-AFFANIY,SMP,S,Dsn. Lembanah,-7.112,113.0039
50000,Prov. Jawa Timur,56000,Kota Surabaya,56022,Kec. Simokerto,20532498,SMP MUHAMMADIYAH 1,SMP,S,Jl. Kapasan 73-75 Surabaya,-7.2395,112.7497
50000,Prov. Jawa Timur,51800,Kab. Malang,51804,Kec. Bantur,20517035,SD NEGERI SUMBERBENING 1,SD,N,Sumberbening Rt 19 Rw 03,-8.3432,112.5387
50000,Prov. Jawa Timur,52300,Kab. Situbondo,52305,Kec. Suboh,69947653,SMP NEGERI 4 SUBOH SATU ATAP,SMP,N,Jl. Rengganis No.02 RT.03 RW.03,0.0,0.0
50000,Prov. Jawa Timur,52800,Kab. Sumenep,52821,Kec. Gayam,20529610,SD NEGERI KARANG TENGAH,SD,N,Karang Tengah,-7.1476,114.3411
50000,Prov. Jawa Timur,52000,Kab. Probolinggo,52015,Kec. Kraksaan,20548603,SD NEGERI SEMAMPIR II,SD,N,Jl. Pattimura No. 444,-7.7603,113.4066
50000,Prov. Jawa Timur,52500,Kab. Banyuwangi,52504,Kec. Tegaldlimo,20525574,SMP PGRI 2 TEGALDLIMO,SMP,S,Jl. Pangeran Diponegoro,-8.5168,114.2881
50000,Prov. Jawa Timur,52800,Kab. Sumenep,52818,Kec. Batang-Batang,20529759,SD NEGERI BATANG BATANG DAYA I,SD,N,Desa Batangbatang Daya,-6.9489,113.9995
50000,Prov. Jawa Timur,51600,Kab. Tulungagung,51605,Kec. Tanggung Gunung,20515951,SD NEGERI 1 JENGGLUNGHARJO,SD,N,Jengglungharjo RT.02 RW.04,-8.2502,111.9006
50000,Prov. Jawa Timur,51300,Kab. Kediri,51301,Kec. Kras,20512644,SD NEGERI JAMBEAN III,SD,N,Dusun Ngrombeh RT.01 Rw.03,-7.9302,111.9677
50000,Prov. Jawa Timur,51500,Kab. Blitar,51520,Kec. Srengat,20514331,SD NEGERI PAKISREJO 01,SD,N,Pakisrejo Rt. 01 Rw. 03,-8.0892,112.048
50000,Prov. Jawa Timur,51100,Kab. Ponorogo,51117,Kec. Ponorogo,20510641,SD NEGERI JINGGLONG,SD,N,Jl Mt Hariyono No 117,-7.8563333,111.4483
50000,Prov. Jawa Timur,52400,Kab. Jember,52413,Kec. Balung,20525110,SD NEGERI BALUNGKULON 03,SD,N,Jl. AHMAD YANI NO. 23,-8.3148,113.5222
50000,Prov. Jawa Timur,52200,Kab. Bondowoso,52215,Kec. Klabang,20522448,SDN BESUK,SD,N,Jln Raya Situbondo,-7.8218,113.9626
50000,Prov. Jawa Timur,51000,Kab. Magetan,51011,Kec. Maospati,20509273,SD NEGERI PANDEYAN I,SD,N,Ds. Pandeyan,-7.6084,111.4556
50000,Prov. Jawa Timur,51700,Kab. Trenggalek,51702,Kec. Munjungan,20541984,SD NEGERI 1 MASARAN,SD,N,RT. 35 RW. 08 Desa Masaran,-8.3027,111.5551
